"The Nexus 5 takes the very best that Google has to offer and wraps it in a dull, plastic shell","0.5"
"It gives us the sweet nectar that is stock Android but presents it to us in a generic body that doesn’t feel special","0.5"
"The phone is excellent and can easily hold its own against Samsung’s Galaxy S4, Apple’s iPhones, and all of Nokia’s Lumias, but there’s little here that we haven’t already seen in other high-end smartphones","1.0"
"If it weren’t for the software, the Nexus 5 would be just another Android phone","0.5"
"HTC knows how to make good-looking hardware","0.5"
"I loved the white ceramic body of the HTC One X and Nokia could learn a thing or two about making Windows phones by taking a closer look at the HTC Windows Phone 8X","1.0"
"The company’s latest offering, the HTC One, is a paragon of industrial design: Its chiseled chamfers, rounded edges, and chrome accents are sure to turn more than a few heads when you whip out the phone in public","0.5"
"But the One is more than just a pretty face: HTC packed a lot of power under the phone’s hood, and the handset’s camera benefits from numerous software and hardware tweaks that should excite fans of mobile photography","1.0"
"This is the burning question of the moment: Should you buy the Samsung Galaxy S4","0.5"
"After spending a few days with the phone and running it through TechHive's suite of tests, I can confirm that the Galaxy S4 is an impressive Android phone","1.0"
"Samsung's latest offering tops its previous efforts in many respects, and Android fans are rightly excited by the Galaxy S4's imminent release (slated for the end of the month)","1.0"
"That's not to say that the phone is perfect: For all of its innovations and cutting-edge specs, the Galaxy S4 has shortcomings that prevent it from being the ideal smartphone","0.75"
"More importantly, Lenovo managed to cram more I/O ports into the new design","0.5"
"The old model had just two USB ports (only one of which was USB 3,0), a mini DisplayPort, and an SD card reader","0.5"
"Since it had no hard-wired ethernet, you had to use a USB dongle or a docking station, either of which would consume one of its USB ports","0.5"
"The HTC One M8's gorgeous design, excellent battery life and powerful performance make it the best Android phone yet","1.0"
"The $299 Boost Max is a solid no-contract phablet value, with a 5,7-inch display, handy split-screen software and impressively long battery life","1.0"
"The LG G Flex's attention-grabbing curved display and self-healing design make it stand out, but the long battery life is our favorite feature","1.0"
"LG's pricey 6-inch G Flex boasts a head-turning curved design, fast performance and a long-lasting battery, but some features are gimmicky","0.75"
"A head-turning flexible design and vibrant display make the G Flex an exciting Android device, but it's not our favorite phablet","0.5"
"Sony's Xperia Z1s is a powerful waterproof smartphone with long battery life, but its display and camera could be better","1.0"
"The Galaxy S4 Mini offers many of the benefits of its larger sibling in a lower-cost, pint-sized package","1.0"
"Samsung's Galaxy Note 3 packs robust pen and multitasking software in a sleek, speedy, long-lasting device with a brilliant display","1.0"
"The HTC One Max packs a ginormous 5,9-inch display, impressive sound quality and a fingerprint sensor, but it's a bulky device","0.75"
"With its smooth performance, attractive design and low, $199 price, the Moto G is one of the better unlocked-phone deals","1.0"
"LG's flexible, self-healing G Flex is an innovative and fast handset that feels like the future of smartphones","1.0"
"The Galaxy S4 Mini offers many of the benefits of its larger sibling in a lower-cost, pint-sized package","1.0"
"With the release of the iPhone 4S the iPhone 4 is no longer Apple's flagship smartphone","0.5"
"Nevertheless, it's still a powerful device and one that's available at a very good price: $100 with a two-year service contract","1.0"
"The new iPhone 5s is a delight","0.75"
"Its hardware and software make it the best smartphone on the market","1.0"
"The difference [in the new iSight camera] is immediately obvious","0.5"
"lowlight pictures are far better on the new phone","1.0"
"Clearer, brighter, better color","1.0"
"iPhone 5c may have a cheap price, relatively speaking, but there is nothing cheap about the phone","0.0"
"Plastic be damned - the phone feels good in the hand","0.2"
"With the 5c, Apple achieves an unprecedented level of synergy between hardware and software","1.0"
"With the iPhone 5s, Apple once again wins the right to claim the title of best smartphone available","1.0"
"the i-phone 5s is probably the most futureproof of any iPhone ever launched","0.5"
"As much as it pains me to use the word futureproof, if you are one of those people who likes to hold onto their device for a while - the 5s is as good a starting point as any","1.0"
"Great phone, super fast","1.0"
"Overall, if you are debating whether or not to buy the iPhone 5, I would definitely recommend this product to you","1.0"
"I have had my phone for about 1 and a half years now and i have had little to no problems with this product","1.0"
"Apple switched up the model and design for this phone and some might debate whether it was good or bad that they did, but I am all for the switch up","1.0"
"I have seen great improvements starting for the 3GS and making my way up to the 5 and i feel that the changes were for the best","1.0"
"Honestly right now i would not switch my phone for any other","0.75"
"This is the phone to get","0.5"
"I've had the Galaxy S4, the iPhone 5, and all the others, simply put, this phone blows them all out of the water","0.5"
"Battery life is better than on the 5, partially due to the new motion sensor co-processor","1.0"
"When you don't move the phone it can detect it and not use as much life","0.5"
"The speed of just about everything is greatly improved over the 5, and for the most part everything works smoothly","1.0"
"There are a few hiccups here and there, but that's in-part due to the new 64 bit processor that's on board","0.5"
"The camera is improved in low lighting situations, but IMO, still the same camera really","0.75"
"The best part is the 120 fps mode, and the new dual flash","1.0"
"Overall, I'm quite happy with my purchase","1.0"
"I have been an iphone holdout for years","0.5"
"I was a faithful HTC Android guy but decided to take the plunge this year","0.2"
"After the Iphone 5S and 5C came out, I decided to pick up an Iphone 5 seeing that apart from the fingerprint scanner and better camera- the Iphone 5 at $500 was a steal","0.0"
"As soon as I upgraded to IOS 7, the phone has been awesome right out of the box","1.0"
"I am sure I will find fault eventually, but for now I am well pleased with my year old model","0.5"
"When the Iphone 6 comes out I may consider an upgrade but until then I will continue to use this","0.5"
"(trust me- I thought I would NEVER get an Iphone, Now I am happy I did)","1.0"
"Iphone 5 is so versatile","1.0"
"I upgraded from an iphone 4 and I am so glad that I did","1.0"
"Fast processor","1.0"
"I use it for pretty much everything","1.0"
"Backing-up all my information took about 30 minutes","0.5"
"No hiccups at all","0.5"
"I got this phone from Verizon after switching from AT&T and my iPhone 4S","0.5"
"After a few days of people telling me is sounded muffled, I recorded myself in a voicemail to hear what they heard","0.5"
"It was awful","0.0"
"I shared the audio with Verizon and they said the phone was defective","0.0"
"They promptly sent me a new phone","0.5"
"This phone was just as bad","0.0"
"People actually ask me to call them back on another phone so they can hear me","0.5"
"I'm sending this one back and getting a 4S on Monday","0.0"
"Sadly,all I can get is a 16gb model","0.0"
"I'm not even interested in trying the 5C or 5S models","0.5"
"Apple and Verizon have clearly lost their edge","0.0"
"Some folks have given the LG G Flex a hard time for being downright odd: it's a curved 6"" Android smartphone with some flexibility to avoid breaking","0.5"
"The curve actually feels good in the hand, cuts down on glare and makes this otherwise huge phone a bit more manageable","1.0"
"Inside the specs are all flagship with one exception: a 2,2GHz quad core Snapdragon 800 CPU, 2 gigs of RAM, 32 gigs of storage, a huge battery and a capable 13 megapixel camera that can shoot 4k video","1.0"
"But the display resolution is relatively low at 720p, and that hurts","0.0"
"Is that enough to doom the G Flex","0.0"
"The Xperia Z1S is the T-Mobile version of the well-received Xperia Z1, Sony's newest flagship Android phone","0.5"
