"Sony Xperia Z1 è il nuovo top di gamma di Sony presentato a Berlino durante l'IFA 2013, che si caratterizza per una fotocamera davvero molto performante dal punto di vista hardware, ma che come vedremo in seguito ci ha lasciato un po' perplessi, a questo proposito abbiamo fatto un focus per analizzare le caratteristiche del comparto multimediale","0.75"
"L'hardware di Sony Xperia Z1 è al top, per quanto riguarda gli smartphone usciti in questi mesi","1.0"
"Troviamo un processore Quad Core Qualcomm Snapdragon 800 da 2,2 GHz, 2 GB di Ram, una GPU Adreno 330, 16 GB di memoria interna espandibili grazie allo slot MicroSD fino ad ulteriori 64 GB","1.0"
"Il display è un Full HD da 5 pollici con tecnologia Trilumos, quindi con risoluzione di 1920 x 1080 pixel, e ovviamente la connettività è di tipo LTE","0.5"
"ASUS Transformer Book è il nuovo potente e agile notebook convertibile che si trasforma in tablet in un modo tutto nuovo e con una potenza davvero interessante","1.0"
"La società taiwanese ha presentato il nuovo modello contraddistinto dalla sigla TX300 che si avvale del sistema operativo di ultima generazione Windows 8 per sfruttare al meglio l'ampio schermo touchscreen da 13,3 pollici in Full HD che si può letteralmente staccare dalla struttura per diventare una tavoletta digitale trasportabile","1.0"
"Qui sopra una fotogallery sul nuovo dispositivo mosso da un prestante processore Intel Core di terza generazione, dopo il salto tutti i dettagli","1.0"
"smartphone con un rapporto qualità prezzo medio/basso infatti appena si inizia a mettere widget si intasa la RAM","0.2"
"poca la memoria interna ma c'è la possibilità di espanderla: purtroppo non tutte le applicazioni hanno il privilegio di poter essere salvate su sd","0.0"
"Non lo ricomprerei","0.0"
"HP EliteBook 2760P è l'ultimo esponente di una prestigiosa famiglia di tablet PC professionali della quale riprende le principali caratteristiche, sia estetiche che funzionali, seppur ovviamente aggiornate alle ultime soluzioni tecniche disponibili","0.5"
